sl_pct,tp_pct,trail_pct,hold_max,lower,upper,PnL,Trades
0.0005,0.002,0.0015,5,0.44,0.48,-788.3759659711504,120.0
0.0005,0.002,0.0015,5,0.44,0.49,89.68593232585408,110.0
0.0005,0.002,0.0015,5,0.44,0.5,180.73059264733456,102.0
0.0005,0.002,0.0015,5,0.44,0.51,-30.305768953854567,98.0
0.0005,0.002,0.0015,5,0.45,0.48,-1619.8262137682177,127.0
0.0005,0.002,0.0015,5,0.45,0.49,-741.7643154712132,118.0
0.0005,0.002,0.0015,5,0.45,0.5,-635.4790079983504,109.0
0.0005,0.002,0.0015,5,0.45,0.51,-846.5153695995396,105.0
0.0005,0.002,0.0015,5,0.46,0.48,-2687.199147678606,135.0
0.0005,0.002,0.0015,5,0.46,0.49,-1778.7671086095797,125.0
0.0005,0.002,0.0015,5,0.46,0.5,-1924.325863289705,118.0
0.0005,0.002,0.0015,5,0.46,0.51,-2135.362224890894,114.0
0.0005,0.002,0.0015,5,0.47,0.48,-3044.9937442154333,144.0
0.0005,0.002,0.0015,5,0.47,0.49,-2085.7441144369805,135.0
0.0005,0.002,0.0015,5,0.47,0.5,-2482.6770875874063,127.0
0.0005,0.002,0.0015,5,0.47,0.51,-2693.7134491885954,123.0
0.0005,0.002,0.0015,7,0.44,0.48,-1966.1926847106515,108.0
0.0005,0.002,0.0015,7,0.44,0.49,-1074.6726824565267,100.0
0.0005,0.002,0.0015,7,0.44,0.5,-877.1362851832237,93.0
0.0005,0.002,0.0015,7,0.44,0.51,-1136.9750872822187,89.0
0.0005,0.002,0.0015,7,0.45,0.48,-3034.229572268523,115.0
0.0005,0.002,0.0015,7,0.45,0.49,-2142.709570014398,107.0
0.0005,0.002,0.0015,7,0.45,0.5,-1899.4393791007897,100.0
0.0005,0.002,0.0015,7,0.45,0.51,-2159.2781811997847,96.0
0.0005,0.002,0.0015,7,0.46,0.48,-3182.850212993566,120.0
0.0005,0.002,0.0015,7,0.46,0.49,-2145.547039354671,111.0
0.0005,0.002,0.0015,7,0.46,0.5,-2047.864903812675,106.0
0.0005,0.002,0.0015,7,0.46,0.51,-2307.70370591167,102.0
0.0005,0.002,0.0015,7,0.47,0.48,-3255.9092123909795,124.0
0.0005,0.002,0.0015,7,0.47,0.49,-2329.2723420473485,117.0
0.0005,0.002,0.0015,7,0.47,0.5,-2108.1758233046858,111.0
0.0005,0.002,0.0015,7,0.47,0.51,-2368.014625403681,107.0
0.0005,0.002,0.0015,10,0.44,0.48,-1602.972271674982,97.0
0.0005,0.002,0.0015,10,0.44,0.49,-551.8487769088533,89.0
0.0005,0.002,0.0015,10,0.44,0.5,-362.4632870844216,82.0
0.0005,0.002,0.0015,10,0.44,0.51,-297.2898793001805,79.0
0.0005,0.002,0.0015,10,0.45,0.48,-2766.9324004290247,102.0
0.0005,0.002,0.0015,10,0.45,0.49,-1835.2354197963577,95.0
0.0005,0.002,0.0015,10,0.45,0.5,-1625.554832981099,87.0
0.0005,0.002,0.0015,10,0.45,0.51,-1560.381425196858,84.0
0.0005,0.002,0.0015,10,0.46,0.48,-2863.2276726265263,106.0
0.0005,0.002,0.0015,10,0.46,0.49,-1926.4425943300157,99.0
0.0005,0.002,0.0015,10,0.46,0.5,-2122.2544205223967,92.0
0.0005,0.002,0.0015,10,0.46,0.51,-2109.631213397908,89.0
0.0005,0.002,0.0015,10,0.47,0.48,-3267.462898793514,110.0
0.0005,0.002,0.0015,10,0.47,0.49,-2129.228110080556,103.0
0.0005,0.002,0.0015,10,0.47,0.5,-2125.1001567210915,96.0
0.0005,0.002,0.0015,10,0.47,0.51,-2112.476949596603,94.0
0.0005,0.002,0.002,5,0.44,0.48,-787.1921479069861,119.0
0.0005,0.002,0.002,5,0.44,0.49,90.86975039001845,110.0
0.0005,0.002,0.002,5,0.44,0.5,181.91441071149893,101.0
0.0005,0.002,0.002,5,0.44,0.51,-29.121950889690197,97.0
0.0005,0.002,0.002,5,0.45,0.48,-1618.6423957040533,127.0
0.0005,0.002,0.002,5,0.45,0.49,-740.5804974070488,117.0
0.0005,0.002,0.002,5,0.45,0.5,-634.295189934186,109.0
0.0005,0.002,0.002,5,0.45,0.51,-845.3315515353752,105.0
0.0005,0.002,0.002,5,0.46,0.48,-2686.0153296144417,134.0
0.0005,0.002,0.002,5,0.46,0.49,-1777.5832905454154,125.0
0.0005,0.002,0.002,5,0.46,0.5,-1923.1420452255406,117.0
0.0005,0.002,0.002,5,0.46,0.51,-2134.1784068267298,113.0
0.0005,0.002,0.002,5,0.47,0.48,-3043.809926151269,143.0
0.0005,0.002,0.002,5,0.47,0.49,-2084.560296372816,134.0
0.0005,0.002,0.002,5,0.47,0.5,-2481.493269523242,126.0
0.0005,0.002,0.002,5,0.47,0.51,-2692.529631124431,122.0
0.0005,0.002,0.002,7,0.44,0.48,-2006.61942600568,108.0
0.0005,0.002,0.002,7,0.44,0.49,-1104.7017712483066,100.0
0.0005,0.002,0.002,7,0.44,0.5,-907.1653739750036,93.0
0.0005,0.002,0.002,7,0.44,0.51,-1167.0041760739987,89.0
0.0005,0.002,0.002,7,0.45,0.48,-3033.0457542043587,114.0
0.0005,0.002,0.002,7,0.45,0.49,-2131.1280994469853,106.0
0.0005,0.002,0.002,7,0.45,0.5,-1887.8579085333768,99.0
0.0005,0.002,0.002,7,0.45,0.51,-2147.696710632372,95.0
0.0005,0.002,0.002,7,0.46,0.48,-3181.6663949294016,119.0
0.0005,0.002,0.002,7,0.46,0.49,-2133.9655687872582,111.0
0.0005,0.002,0.002,7,0.46,0.5,-2036.2834332452621,105.0
0.0005,0.002,0.002,7,0.46,0.51,-2296.122235344257,101.0
0.0005,0.002,0.002,7,0.47,0.48,-3198.01761193767,124.0
0.0005,0.002,0.002,7,0.47,0.49,-2260.9830890907906,116.0
0.0005,0.002,0.002,7,0.47,0.5,-2096.594352737273,111.0
0.0005,0.002,0.002,7,0.47,0.51,-2356.433154836268,107.0
0.0005,0.002,0.002,10,0.44,0.48,-1601.483920312341,95.0
0.0005,0.002,0.002,10,0.44,0.49,-514.2819166600239,88.0
0.0005,0.002,0.002,10,0.44,0.5,-324.89642683559214,80.0
0.0005,0.002,0.002,10,0.44,0.51,-259.723019051351,77.0
0.0005,0.002,0.002,10,0.45,0.48,-2718.749058649628,100.0
0.0005,0.002,0.002,10,0.45,0.49,-1750.9735691307724,93.0
0.0005,0.002,0.002,10,0.45,0.5,-1541.2929823155137,86.0
0.0005,0.002,0.002,10,0.45,0.51,-1476.1195745312725,83.0
0.0005,0.002,0.002,10,0.46,0.48,-2867.109555778865,105.0
0.0005,0.002,0.002,10,0.46,0.49,-1894.2459685961658,98.0
0.0005,0.002,0.002,10,0.46,0.5,-2090.0577947885467,91.0
0.0005,0.002,0.002,10,0.46,0.51,-2077.434587664058,88.0
0.0005,0.002,0.002,10,0.47,0.48,-3271.3447819458524,109.0
0.0005,0.002,0.002,10,0.47,0.49,-2097.031484346706,102.0
0.0005,0.002,0.002,10,0.47,0.5,-2092.9035309872415,95.0
0.0005,0.002,0.002,10,0.47,0.51,-2080.280323862753,93.0
0.0005,0.002,0.0025,5,0.44,0.48,-787.1921479069861,119.0
0.0005,0.002,0.0025,5,0.44,0.49,90.86975039001845,110.0
0.0005,0.002,0.0025,5,0.44,0.5,181.91441071149893,101.0
0.0005,0.002,0.0025,5,0.44,0.51,-29.121950889690197,97.0
0.0005,0.002,0.0025,5,0.45,0.48,-1618.6423957040533,127.0
0.0005,0.002,0.0025,5,0.45,0.49,-740.5804974070488,117.0
0.0005,0.002,0.0025,5,0.45,0.5,-634.295189934186,109.0
0.0005,0.002,0.0025,5,0.45,0.51,-845.3315515353752,105.0
0.0005,0.002,0.0025,5,0.46,0.48,-2686.0153296144417,134.0
0.0005,0.002,0.0025,5,0.46,0.49,-1777.5832905454154,125.0
0.0005,0.002,0.0025,5,0.46,0.5,-1923.1420452255406,117.0
0.0005,0.002,0.0025,5,0.46,0.51,-2134.1784068267298,113.0
0.0005,0.002,0.0025,5,0.47,0.48,-3043.809926151269,143.0
0.0005,0.002,0.0025,5,0.47,0.49,-2084.560296372816,134.0
0.0005,0.002,0.0025,5,0.47,0.5,-2481.493269523242,126.0
0.0005,0.002,0.0025,5,0.47,0.51,-2692.529631124431,122.0
0.0005,0.002,0.0025,7,0.44,0.48,-2006.61942600568,108.0
0.0005,0.002,0.0025,7,0.44,0.49,-1104.7017712483066,100.0
0.0005,0.002,0.0025,7,0.44,0.5,-907.1653739750036,93.0
0.0005,0.002,0.0025,7,0.44,0.51,-1167.0041760739987,89.0
0.0005,0.002,0.0025,7,0.45,0.48,-3033.0457542043587,114.0
0.0005,0.002,0.0025,7,0.45,0.49,-2131.1280994469853,106.0
0.0005,0.002,0.0025,7,0.45,0.5,-1887.8579085333768,99.0
0.0005,0.002,0.0025,7,0.45,0.51,-2147.696710632372,95.0
0.0005,0.002,0.0025,7,0.46,0.48,-3181.6663949294016,119.0
0.0005,0.002,0.0025,7,0.46,0.49,-2133.9655687872582,111.0
0.0005,0.002,0.0025,7,0.46,0.5,-2036.2834332452621,105.0
0.0005,0.002,0.0025,7,0.46,0.51,-2296.122235344257,101.0
0.0005,0.002,0.0025,7,0.47,0.48,-3198.01761193767,124.0
0.0005,0.002,0.0025,7,0.47,0.49,-2260.9830890907906,116.0
0.0005,0.002,0.0025,7,0.47,0.5,-2096.594352737273,111.0
0.0005,0.002,0.0025,7,0.47,0.51,-2356.433154836268,107.0
0.0005,0.002,0.0025,10,0.44,0.48,-1537.5774045650614,95.0
0.0005,0.002,0.0025,10,0.44,0.49,-575.1496365382773,88.0
0.0005,0.002,0.0025,10,0.44,0.5,-385.76414671384555,80.0
0.0005,0.002,0.0025,10,0.44,0.51,-320.5907389296044,77.0
0.0005,0.002,0.0025,10,0.45,0.48,-2654.842542902348,100.0
0.0005,0.002,0.0025,10,0.45,0.49,-1811.8412890090258,93.0
0.0005,0.002,0.0025,10,0.45,0.5,-1602.160702193767,86.0
0.0005,0.002,0.0025,10,0.45,0.51,-1536.987294409526,83.0
0.0005,0.002,0.0025,10,0.46,0.48,-2803.2030400315853,105.0
0.0005,0.002,0.0025,10,0.46,0.49,-1955.1136884744192,98.0
0.0005,0.002,0.0025,10,0.46,0.5,-2150.9255146668,91.0
0.0005,0.002,0.0025,10,0.46,0.51,-2138.3023075423116,88.0
0.0005,0.002,0.0025,10,0.47,0.48,-3207.438266198573,109.0
0.0005,0.002,0.0025,10,0.47,0.49,-2157.8992042249592,102.0
0.0005,0.002,0.0025,10,0.47,0.5,-2153.771250865495,95.0
0.0005,0.002,0.0025,10,0.47,0.51,-2141.1480437410064,93.0
0.0005,0.0025,0.0015,5,0.44,0.48,-785.8954738552566,120.0
0.0005,0.0025,0.0015,5,0.44,0.49,92.16642444174795,110.0
0.0005,0.0025,0.0015,5,0.44,0.5,162.58808897421113,102.0
0.0005,0.0025,0.0015,5,0.44,0.51,-48.448272626977996,98.0
0.0005,0.0025,0.0015,5,0.45,0.48,-1617.3457216523238,127.0
0.0005,0.0025,0.0015,5,0.45,0.49,-739.2838233553193,118.0
0.0005,0.0025,0.0015,5,0.45,0.5,-653.6215116714739,109.0
0.0005,0.0025,0.0015,5,0.45,0.51,-864.657873272663,105.0
0.0005,0.0025,0.0015,5,0.46,0.48,-2710.534134676607,135.0
0.0005,0.0025,0.0015,5,0.46,0.49,-1802.1020956075808,125.0
0.0005,0.0025,0.0015,5,0.46,0.5,-1968.2838460767234,118.0
0.0005,0.0025,0.0015,5,0.46,0.51,-2179.3202076779125,114.0
0.0005,0.0025,0.0015,5,0.47,0.48,-3158.352989054998,143.0
0.0005,0.0025,0.0015,5,0.47,0.49,-2199.1033592765452,134.0
0.0005,0.0025,0.0015,5,0.47,0.5,-2616.6593282159884,126.0
0.0005,0.0025,0.0015,5,0.47,0.51,-2827.6956898171775,122.0
0.0005,0.0025,0.0015,7,0.44,0.48,-1543.6388538364845,107.0
0.0005,0.0025,0.0015,7,0.44,0.49,-652.1188515823596,99.0
0.0005,0.0025,0.0015,7,0.44,0.5,-564.5127741516626,92.0
0.0005,0.0025,0.0015,7,0.44,0.51,-881.5773413500283,88.0
0.0005,0.0025,0.0015,7,0.45,0.48,-2562.4552872136846,113.0
0.0005,0.0025,0.0015,7,0.45,0.49,-1670.9352849595598,105.0
0.0005,0.0025,0.0015,7,0.45,0.5,-1537.5954138885572,98.0
0.0005,0.0025,0.0015,7,0.45,0.51,-1854.659981086923,94.0
0.0005,0.0025,0.0015,7,0.46,0.48,-2877.37812025116,118.0
0.0005,0.0025,0.0015,7,0.46,0.49,-1840.0749466122652,109.0
0.0005,0.0025,0.0015,7,0.46,0.5,-1852.323130912875,104.0
0.0005,0.0025,0.0015,7,0.46,0.51,-2169.3876981112408,100.0
0.0005,0.0025,0.0015,7,0.47,0.48,-3055.9876198907878,123.0
0.0005,0.0025,0.0015,7,0.47,0.49,-2129.3507495471567,115.0
0.0005,0.0025,0.0015,7,0.47,0.5,-2018.1845506471,110.0
0.0005,0.0025,0.0015,7,0.47,0.51,-2335.2491178454657,106.0
0.0005,0.0025,0.0015,10,0.44,0.48,-1069.0674148888647,96.0
0.0005,0.0025,0.0015,10,0.44,0.49,-17.943920122736017,89.0
0.0005,0.0025,0.0015,10,0.44,0.5,19.803005918947747,81.0
0.0005,0.0025,0.0015,10,0.44,0.51,27.750648603818263,78.0
0.0005,0.0025,0.0015,10,0.45,0.48,-2067.05577595011,101.0
0.0005,0.0025,0.0015,10,0.45,0.49,-1135.3587953174429,94.0
0.0005,0.0025,0.0015,10,0.45,0.5,-1123.0673472869676,86.0
0.0005,0.0025,0.0015,10,0.45,0.51,-1115.119704602097,83.0
0.0005,0.0025,0.0015,10,0.46,0.48,-2366.7075408816745,106.0
0.0005,0.0025,0.0015,10,0.46,0.49,-1429.9224625851639,99.0
0.0005,0.0025,0.0015,10,0.46,0.5,-1823.1234275623283,91.0
0.0005,0.0025,0.0015,10,0.46,0.51,-1867.7259855372104,89.0
0.0005,0.0025,0.0015,10,0.47,0.48,-2933.0627376258344,110.0
0.0005,0.0025,0.0015,10,0.47,0.49,-1794.8279489128763,103.0
0.0005,0.0025,0.0015,10,0.47,0.5,-2100.260296133085,96.0
0.0005,0.0025,0.0015,10,0.47,0.51,-2144.862854107967,93.0
0.0005,0.0025,0.002,5,0.44,0.48,-784.7116557910922,119.0
0.0005,0.0025,0.002,5,0.44,0.49,93.35024250591232,110.0
0.0005,0.0025,0.002,5,0.44,0.5,163.7719070383755,101.0
0.0005,0.0025,0.002,5,0.44,0.51,-47.264454562813626,97.0
0.0005,0.0025,0.002,5,0.45,0.48,-1616.1619035881595,127.0
0.0005,0.0025,0.002,5,0.45,0.49,-738.100005291155,117.0
0.0005,0.0025,0.002,5,0.45,0.5,-652.4376936073095,109.0
0.0005,0.0025,0.002,5,0.45,0.51,-863.4740552084986,105.0
0.0005,0.0025,0.002,5,0.46,0.48,-2709.350316612443,134.0
0.0005,0.0025,0.002,5,0.46,0.49,-1800.9182775434165,125.0
0.0005,0.0025,0.002,5,0.46,0.5,-1967.100028012559,117.0
0.0005,0.0025,0.002,5,0.46,0.51,-2178.136389613748,113.0
0.0005,0.0025,0.002,5,0.47,0.48,-3157.1691709908337,143.0
0.0005,0.0025,0.002,5,0.47,0.49,-2197.919541212381,134.0
0.0005,0.0025,0.002,5,0.47,0.5,-2615.475510151824,126.0
0.0005,0.0025,0.002,5,0.47,0.51,-2826.511871753013,122.0
0.0005,0.0025,0.002,7,0.44,0.48,-1582.8887551315129,106.0
0.0005,0.0025,0.002,7,0.44,0.49,-680.9711003741395,98.0
0.0005,0.0025,0.002,7,0.44,0.5,-593.3650229434425,91.0
0.0005,0.0025,0.002,7,0.44,0.51,-910.4295901418081,87.0
0.0005,0.0025,0.002,7,0.45,0.48,-2601.705188508713,112.0
0.0005,0.0025,0.002,7,0.45,0.49,-1699.7875337513397,104.0
0.0005,0.0025,0.002,7,0.45,0.5,-1566.447662680337,97.0
0.0005,0.0025,0.002,7,0.45,0.51,-1883.5122298787028,93.0
0.0005,0.0025,0.002,7,0.46,0.48,-2916.6280215461884,117.0
0.0005,0.0025,0.002,7,0.46,0.49,-1868.927195404045,108.0
0.0005,0.0025,0.002,7,0.46,0.5,-1881.175379704655,103.0
0.0005,0.0025,0.002,7,0.46,0.51,-2198.2399469030206,99.0
0.0005,0.0025,0.002,7,0.47,0.48,-3038.529738796671,122.0
0.0005,0.0025,0.002,7,0.47,0.49,-2101.4952159497916,114.0
0.0005,0.0025,0.002,7,0.47,0.5,-2047.0367994388798,109.0
0.0005,0.0025,0.002,7,0.47,0.51,-2364.1013666372455,105.0
0.0005,0.0025,0.002,10,0.44,0.48,-1056.9098266348446,95.0
0.0005,0.0025,0.002,10,0.44,0.49,30.292177017472568,87.0
0.0005,0.0025,0.002,10,0.44,0.5,68.03910305915633,80.0
0.0005,0.0025,0.002,10,0.44,0.51,75.98674574402685,77.0
0.0005,0.0025,0.002,10,0.45,0.48,-2049.8137566385267,99.0
0.0005,0.0025,0.002,10,0.45,0.49,-1082.0382671196712,92.0
0.0005,0.0025,0.002,10,0.45,0.5,-1069.746819089196,85.0
0.0005,0.0025,0.002,10,0.45,0.51,-1061.7991764043254,82.0
0.0005,0.0025,0.002,10,0.46,0.48,-2401.530746501827,105.0
0.0005,0.0025,0.002,10,0.46,0.49,-1428.6671593191277,98.0
0.0005,0.0025,0.002,10,0.46,0.5,-1821.868124296292,90.0
0.0005,0.0025,0.002,10,0.46,0.51,-1866.4706822711742,88.0
0.0005,0.0025,0.002,10,0.47,0.48,-2967.8859432459867,109.0
0.0005,0.0025,0.002,10,0.47,0.49,-1793.57264564684,102.0
0.0005,0.0025,0.002,10,0.47,0.5,-2051.390166309313,94.0
0.0005,0.0025,0.002,10,0.47,0.51,-2095.992724284195,92.0
0.0005,0.0025,0.0025,5,0.44,0.48,-784.7116557910922,119.0
0.0005,0.0025,0.0025,5,0.44,0.49,93.35024250591232,110.0
0.0005,0.0025,0.0025,5,0.44,0.5,163.7719070383755,101.0
0.0005,0.0025,0.0025,5,0.44,0.51,-47.264454562813626,97.0
0.0005,0.0025,0.0025,5,0.45,0.48,-1616.1619035881595,127.0
0.0005,0.0025,0.0025,5,0.45,0.49,-738.100005291155,117.0
0.0005,0.0025,0.0025,5,0.45,0.5,-652.4376936073095,109.0
0.0005,0.0025,0.0025,5,0.45,0.51,-863.4740552084986,105.0
0.0005,0.0025,0.0025,5,0.46,0.48,-2709.350316612443,134.0
0.0005,0.0025,0.0025,5,0.46,0.49,-1800.9182775434165,125.0
0.0005,0.0025,0.0025,5,0.46,0.5,-1967.100028012559,117.0
0.0005,0.0025,0.0025,5,0.46,0.51,-2178.136389613748,113.0
0.0005,0.0025,0.0025,5,0.47,0.48,-3157.1691709908337,143.0
0.0005,0.0025,0.0025,5,0.47,0.49,-2197.919541212381,134.0
0.0005,0.0025,0.0025,5,0.47,0.5,-2615.475510151824,126.0
0.0005,0.0025,0.0025,5,0.47,0.51,-2826.511871753013,122.0
0.0005,0.0025,0.0025,7,0.44,0.48,-1582.8887551315129,106.0
0.0005,0.0025,0.0025,7,0.44,0.49,-680.9711003741395,98.0
0.0005,0.0025,0.0025,7,0.44,0.5,-593.3650229434425,91.0
0.0005,0.0025,0.0025,7,0.44,0.51,-910.4295901418081,87.0
0.0005,0.0025,0.0025,7,0.45,0.48,-2601.705188508713,112.0
0.0005,0.0025,0.0025,7,0.45,0.49,-1699.7875337513397,104.0
0.0005,0.0025,0.0025,7,0.45,0.5,-1566.447662680337,97.0
0.0005,0.0025,0.0025,7,0.45,0.51,-1883.5122298787028,93.0
0.0005,0.0025,0.0025,7,0.46,0.48,-2916.6280215461884,117.0
0.0005,0.0025,0.0025,7,0.46,0.49,-1868.927195404045,108.0
0.0005,0.0025,0.0025,7,0.46,0.5,-1881.175379704655,103.0
0.0005,0.0025,0.0025,7,0.46,0.51,-2198.2399469030206,99.0
0.0005,0.0025,0.0025,7,0.47,0.48,-3038.529738796671,122.0
0.0005,0.0025,0.0025,7,0.47,0.49,-2101.4952159497916,114.0
0.0005,0.0025,0.0025,7,0.47,0.5,-2047.0367994388798,109.0
0.0005,0.0025,0.0025,7,0.47,0.51,-2364.1013666372455,105.0
0.0005,0.0025,0.0025,10,0.44,0.48,-993.003310887565,94.0
0.0005,0.0025,0.0025,10,0.44,0.49,-30.575542860780843,87.0
0.0005,0.0025,0.0025,10,0.44,0.5,7.171383180902922,80.0
0.0005,0.0025,0.0025,10,0.44,0.51,15.119025865773438,77.0
0.0005,0.0025,0.0025,10,0.45,0.48,-1985.907240891247,99.0
0.0005,0.0025,0.0025,10,0.45,0.49,-1142.9059869979246,92.0
0.0005,0.0025,0.0025,10,0.45,0.5,-1130.6145389674493,85.0
0.0005,0.0025,0.0025,10,0.45,0.51,-1122.6668962825788,82.0
0.0005,0.0025,0.0025,10,0.46,0.48,-2337.624230754547,104.0
0.0005,0.0025,0.0025,10,0.46,0.49,-1489.534879197381,98.0
0.0005,0.0025,0.0025,10,0.46,0.5,-1882.7358441745455,90.0
0.0005,0.0025,0.0025,10,0.46,0.51,-1927.3384021494276,88.0
0.0005,0.0025,0.0025,10,0.47,0.48,-2903.979427498707,109.0
0.0005,0.0025,0.0025,10,0.47,0.49,-1854.4403655250935,102.0
0.0005,0.0025,0.0025,10,0.47,0.5,-2112.2578861875663,94.0
0.0005,0.0025,0.0025,10,0.47,0.51,-2156.8604441624484,92.0
0.0005,0.003,0.0015,5,0.44,0.48,-647.7260430386523,119.0
0.0005,0.003,0.0015,5,0.44,0.49,230.33585525835224,109.0
0.0005,0.003,0.0015,5,0.44,0.5,439.01971675518143,101.0
0.0005,0.003,0.0015,5,0.44,0.51,227.9833551539923,97.0
0.0005,0.003,0.0015,5,0.45,0.48,-1479.1762908357196,126.0
0.0005,0.003,0.0015,5,0.45,0.49,-601.114392538715,117.0
0.0005,0.003,0.0015,5,0.45,0.5,-377.18988389050355,108.0
0.0005,0.003,0.0015,5,0.45,0.51,-588.2262454916927,104.0
0.0005,0.003,0.0015,5,0.46,0.48,-2542.7228420415486,134.0
0.0005,0.003,0.0015,5,0.46,0.49,-1634.2908029725222,125.0
0.0005,0.003,0.0015,5,0.46,0.5,-1662.2103564772988,117.0
0.0005,0.003,0.0015,5,0.46,0.51,-1873.246718078488,113.0
0.0005,0.003,0.0015,5,0.47,0.48,-2990.5416964199394,143.0
0.0005,0.003,0.0015,5,0.47,0.49,-2031.2920666414866,134.0
0.0005,0.003,0.0015,5,0.47,0.5,-2310.5858386165637,126.0
0.0005,0.003,0.0015,5,0.47,0.51,-2521.622200217753,122.0
0.0005,0.003,0.0015,7,0.44,0.48,-1795.3944340432645,107.0
0.0005,0.003,0.0015,7,0.44,0.49,-903.8744317891396,99.0
0.0005,0.003,0.0015,7,0.44,0.5,-566.7257806515263,92.0
0.0005,0.003,0.0015,7,0.44,0.51,-883.790347849892,88.0
0.0005,0.003,0.0015,7,0.45,0.48,-2866.453394130702,113.0
0.0005,0.003,0.0015,7,0.45,0.49,-1974.933391876577,105.0
0.0005,0.003,0.0015,7,0.45,0.5,-1592.050947098658,98.0
0.0005,0.003,0.0015,7,0.45,0.51,-1909.1155142970238,94.0
0.0005,0.003,0.0015,7,0.46,0.48,-3177.2668648365216,118.0
0.0005,0.003,0.0015,7,0.46,0.49,-2139.9636911976268,110.0
0.0005,0.003,0.0015,7,0.46,0.5,-1902.6693017913203,104.0
0.0005,0.003,0.0015,7,0.46,0.51,-2219.733868989686,100.0
0.0005,0.003,0.0015,7,0.47,0.48,-3250.325864233935,123.0
0.0005,0.003,0.0015,7,0.47,0.49,-2323.688993890304,115.0
0.0005,0.003,0.0015,7,0.47,0.5,-2033.8220052281831,109.0
